Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;Status_23;X_10;Y_10;X;Y;alt;dia_x;dia_y;alt24;dia_x24;dia_y24;Status24;Status_combined;Status_combined2;;Obs24;Obs23
2;A;0;0;A5;40;0;no tag;2023;Immature;5;8.5;45;8.5;5;5;5;;;;dead;I_dead;old;;;
2;A;0;0;B1;30;40;no tag;2022;dead;3;4;33;44;na;5;na;;;;dead;new;new;;;
2;A;0;0;B2;30;30;no tag;2023;Reprodutivo;2.5;9;32.5;39;8.7;5;5;;;;dead;R_dead;old;;;
2;A;0;0;B2;30;30;no tag;2023;Immature;2.5;5;32.5;35;10;5;5;;;;dead;I_dead;old;;;
2;A;0;0;B2;30;30;no tag;2023;Immature;3;5;33;35;10;5;5;;;;dead;I_dead;old;;;
2;A;0;0;B2;30;30;no tag;2023;Immature;2;6.5;32;36.5;11.4;12;5;;;;dead;I_dead;old;;;
2;A;0;0;B3;30;20;2026;2022;dead;;;30;20;na;5;na;;;;dead;new;new;;;
2;A;0;0;B3;30;20;2025;2022;dead;5.5;3;35.5;23;20.6;5;26.6;;;;dead;new;new;;Retirou a tag;
2;A;0;0;B3;30;20;2018;2022;dead;9;8;39;28;18.5;5;29.5;;;;dead;new;new;;;
2;A;0;0;B3;30;20;no tag;2023;Immature;2.5;0.5;32.5;20.5;5;5;5;;;;dead;I_dead;old;;;
2;A;0;0;B3;30;20;2871;2023;Immature;1.5;2;31.5;22;5;5;5;25;15;13;Reprodutivo;I_live;old;;Ganhou tag em 2024 (#2871);
2;A;0;0;B3;30;20;no tag;2023;Immature;0.5;6;30.5;26;5.1;5;5;;;;dead;I_dead;old;;;
2;A;0;0;B3;30;20;no tag;2023;Reprodutivo;4.5;3;34.5;23;5;5;55;;;;dead;R_dead;old;;;
2;A;0;0;B5;30;0;2022;2022;dead;7.5;3.5;37.5;3.5;52.5;5;71.4;;;;dead;new;new;;Tag retirada;
2;A;0;0;B5;30;0;no tag;2023;Immature;6;6.5;36;6.5;5;5;5;5;5;5;Immature;I_live;old;;;
2;A;0;0;B5;30;0;no tag;2023;Immature;6;6.5;36;6.5;5;5;5;;;;dead;I_dead;old;;;
2;A;0;0;B5;30;0;no tag;2023;Immature;6;6.5;36;6.5;5;5;5;;;;dead;I_dead;old;;;
2;A;0;0;B5;30;0;no tag;2023;Immature;6;6.5;36;6.5;10.6;5;5;;;;dead;I_dead;old;;;
2;A;0;0;B5;30;0;no tag;2023;Immature;6;6;36;6;5;5;5;5;5;5;Immature;I_live;old;;;
2;A;0;0;B5;30;0;no tag;2023;Reprodutivo;9;8;39;8;16.9;5;5;;;;dead;R_dead;old;;;
2;A;0;0;B5;30;0;2875;2023;Reprodutivo;9.5;6.5;39.5;6.5;10.8;5;5.5;25;34;17;Reprodutivo;R_live;old;;"Recebeu tag em 2024 (#2875)
Status não registrado. Immature?";
2;A;0;0;B5;30;0;no tag;2023;Immature;4.5;8;34.5;8;5;5;5;;;;dead;I_dead;old;;;
2;A;0;0;B5;30;0;no tag;2023;Immature;3;3;33;3;5;5;55;;;;dead;I_dead;old;;;
2;A;0;0;B5;30;0;no tag;2023;Immature;3;3;33;3;5;5;5;;;;dead;I_dead;old;;;
2;A;0;0;C1;20;40;no tag;2023;Reprodutivo;8.5;2;28.5;42;12.7;5;5;;;;dead;R_dead;old;;;
2;A;0;0;C1;20;40;no tag;2023;Reprodutivo;5;3;25;43;5;5;5;;;;dead;R_dead;old;;;
2;A;0;0;C1;20;40;no tag;2023;Reprodutivo;4;3.5;24;43.5;10.2;5;5.5;;;;dead;R_dead;old;;;
2;A;0;0;C2;20;30;2019;2022;dead;10;5;30;35;48.1;5;47.6;;;;dead;new;new;;Tirou tag;
2;A;0;0;C3;20;20;2016;2022;dead;3;8;23;28;27.8;5;55.7;;;;dead;new;new;;;
2;A;0;0;C3;20;20;no tag;2023;Reprodutivo;0.5;4.5;20.5;24.5;10.5;5;6.5;;;;dead;R_dead;old;;;
2;A;0;0;C4;20;10;no tag;2023;Immature;3.5;5;23.5;15;5;5;5;;;;dead;I_dead;old;;;
2;A;0;0;C4;20;10;no tag;2023;Reprodutivo;5;4;25;14;12.3;5;5;;;;dead;R_dead;old;;;
2;A;0;0;C4;20;10;no tag;2023;Reprodutivo;7.5;8.5;27.5;18.5;6.7;5;5;;;;dead;R_dead;old;;;
2;A;0;0;C4;20;10;no tag;2023;Immature;4.5;4;24.5;14;5;5;5;;;;dead;I_dead;old;;;
2;A;0;0;C5;20;0;no tag;2023;Immature;4.5;6;24.5;6;5;5;5;;;;dead;I_dead;old;;;
2;A;0;0;D1;10;40;no tag;2023;Reprodutivo;2;8;12;48;8.7;5;5;;;;dead;R_dead;old;;;
2;A;0;0;D1;10;40;no tag;2023;Reprodutivo;6.5;3;16.5;43;5.6;5;5;;;;dead;R_dead;old;;;
2;A;0;0;D2;10;30;no tag;2023;Reprodutivo;6;2;16;32;10.4;5;9.1;;;;dead;R_dead;old;;;
2;A;0;0;D3;10;20;no tag;2023;Immature;0.5;2;10.5;22;7.3;5;5;;;;dead;I_dead;old;;;
2;A;0;0;D3;10;20;no tag;2023;Immature;0.5;2;10.5;22;1.3;5;5;;;;dead;I_dead;old;;;
2;A;0;0;D3;10;20;no tag;2023;Immature;0.5;2;10.5;22;7.3;5;5;;;;dead;I_dead;old;;;
2;A;0;0;D3;10;20;no tag;2023;Immature;0.5;2;10.5;22;7.3;5;5;;;;dead;I_dead;old;;;
2;A;0;0;E1;0;40;2029;2022;Reprodutivo;10;4;10;44;36.4;5;28.3;;;;dead;R_dead;old;;dead sem placa;
2;A;0;0;E1;0;40;no tag;2023;Reprodutivo;6;8;6;48;11.1;5;7.4;;;;dead;R_dead;old;;;
2;A;0;0;E1;0;40;no tag;2023;Reprodutivo;5;6.5;5;46.5;9.7;5;6.5;25;27;22;Reprodutivo;R_live;old;;;
2;A;0;0;E1;0;40;no tag;2022;Reprodutivo;1.5;5.5;1.5;45.5;24.2;5;15.2;;;;dead;R_dead;old;;;
2;A;0;0;E1;0;40;no tag;2023;Reprodutivo;5;6;5;46;12.2;5;6.9;;;;dead;R_dead;old;;;
2;A;0;0;E1;0;40;no tag;2023;Reprodutivo;4;7;4;47;6.7;5;5;;;;dead;R_dead;old;;;
2;B;50;0;A3;20;40;no tag;2023;Reprodutivo;9.5;8.5;79.5;48.5;9.1;5;5;;;;dead;R_dead;old;;;
2;B;50;0;A3;20;40;no tag;2023;Reprodutivo;9.5;8.5;79.5;48.5;9.1;5;5;11;5;5;Immature;R_live;old;;;
2;B;50;0;A3;20;40;no tag;2023;Reprodutivo;8;3.5;78;43.5;10.8;5;5;;;;dead;R_dead;old;;;
2;B;50;0;A3;20;40;no tag;2023;Reprodutivo;8;4.5;78;44.5;5.8;5;5;;;;dead;R_dead;old;;;
2;B;50;0;A3;20;40;no tag;2023;Immature;4;7;74;47;8.8;5;5;;;;dead;I_dead;old;;;
2;B;50;0;A3;20;40;no tag;2023;Reprodutivo;1;8;71;48;9.8;5;6;;;;dead;R_dead;old;;;
2;B;50;0;A3;20;40;no tag;2023;Reprodutivo;1;8;71;48;9.8;5;6;;;;dead;R_dead;old;;;
2;B;50;0;A3;20;40;no tag;2023;Reprodutivo;2.5;9.5;72.5;49.5;17.3;5;5;;;;dead;R_dead;old;;;
2;B;50;0;A3;20;40;no tag;2023;Immature;3;9.5;73;49.5;5;5;5;;;;dead;I_dead;old;;;
2;B;50;0;A3;20;40;no tag;2023;Reprodutivo;3.5;9.5;73.5;49.5;15.8;5;5;;;;dead;R_dead;old;;;
2;B;50;0;A3;20;40;no tag;2023;Immature;4;9.5;74;49.5;12.2;5;5;;;;dead;I_dead;old;;;
2;B;50;0;A3;20;40;no tag;2023;Reprodutivo;6;5;76;45;23.7;5;6.6;;;;dead;R_dead;old;;;
2;B;50;0;A3;20;40;no tag;2023;Reprodutivo;6;5;76;45;23.7;5;6.6;;;;dead;R_dead;old;;;
2;B;50;0;A4;30;40;no tag;2023;Immature;5;3.5;85;43.5;12.3;5;7.5;12.3;8.2;7.5;Immature;I_live;old;;Status não registrado. Immature?;
2;B;50;0;A4;30;40;no tag;2023;Immature;8;1;88;41;6.5;5;5;;;;dead;I_dead;old;;;
2;B;50;0;B1;0;30;no tag;2023;Reprodutivo;5.5;4.5;55.5;34.5;9;5;5;;;;dead;R_dead;old;;;
2;B;50;0;B1;0;30;no tag;2023;Reprodutivo;6;7;56;37;18.5;5;6;;;;dead;R_dead;old;;;
2;B;50;0;B1;0;30;no tag;2023;Reprodutivo;7;7;57;37;7.3;5;5;;;;dead;R_dead;old;;;
2;B;50;0;B1;0;30;no tag;2023;Immature;9;7;59;37;7.8;5;5.9;7.8;5.8;5.9;Immature;I_live;old;;;
2;B;50;0;B1;0;30;no tag;2023;Reprodutivo;9;8;59;38;17.4;5;5.5;16;5;5;Reprodutivo;R_live;old;;;
2;B;50;0;B1;0;30;no tag;2023;Reprodutivo;7.5;9;57.5;39;15.4;5;5;5;5;5;Immature;R_live;old;;;
2;B;50;0;B1;0;30;no tag;2023;Reprodutivo;7.5;9;57.5;39;15.4;5;5;5;5;5;Immature;R_live;old;;;
2;B;50;0;B1;0;30;no tag;2023;Reprodutivo;7.5;9;57.5;39;15.4;5;5;5;5;5;Immature;R_live;old;;;
2;B;50;0;B1;0;30;no tag;2023;Reprodutivo;7.5;9;57.5;39;15.4;5;5;5;5;5;Immature;R_live;old;;;
2;B;50;0;B1;0;30;no tag;2023;Reprodutivo;0.5;4.5;50.5;34.5;13.6;5;7;;;;dead;R_dead;old;;;
2;B;50;0;B2;10;30;no tag;2022;Reprodutivo;6.5;5.5;66.5;35.5;21.2;5;29.4;21;35;31;Reprodutivo;R_live;old;;"Recebeu tag em 2024 (#2893)
Altura não informada. Repeti a do ano anterior (2023)";adulto no tag, ano passado
2;B;50;0;B3;20;30;no tag;2023;Reprodutivo;3;9.5;73;39.5;8.1;5;5;;;;dead;R_dead;old;;;
2;B;50;0;B4;30;30;no tag;2023;Immature;4.5;1;84.5;31;5;5;5;;;;dead;I_dead;old;;;
2;B;50;0;B4;30;30;no tag;2023;Reprodutivo;8;2;88;32;18;5;7.4;;;;dead;R_dead;old;;;
2;B;50;0;C2;10;20;no tag;2023;Immature;8;5;68;25;11;5;5.5;;;;dead;I_dead;old;;;
2;B;50;0;C2;10;20;no tag;2023;Immature;9;5;69;25;13.1;5;5;;;;dead;I_dead;old;;;
2;B;50;0;C2;10;20;no tag;2023;Immature;9;5;69;25;13.1;5;5.3;;;;dead;I_dead;old;;;
2;B;50;0;C2;10;20;no tag;2023;Reprodutivo;7.5;6.5;67.5;26.5;12.6;5;5.3;;;;dead;R_dead;old;;;
2;B;50;0;C2;10;20;no tag;2023;Reprodutivo;7.5;6.5;67.5;26.5;12.3;5;5.3;;;;dead;R_dead;old;;;
2;C;0;50;A2;0;10;2043;2022;dead;5;8;5;68;na;5;na;;;;dead;new;new;;;
2;C;0;50;B4;10;30;no tag;2023;Reprodutivo;4.5;7.1;14.5;87.1;7.1;5;5;;;;dead;R_dead;old;;;
2;C;0;50;C1;20;0;no tag;2023;Immature;4;0.5;24;50.5;15.5;5;9.7;20;9;9;Immature;I_live;old;;;
2;C;0;50;C2;20;10;2039;2022;Reprodutivo;6.5;3;26.5;63;22.3;5;20.3;;;;dead;R_dead;old;;;
2;C;0;50;C2;20;10;2037;2022;Reprodutivo;5;7;25;67;30.2;5;38.4;37;51;45;Reprodutivo;R_live;old;;;
2;C;0;50;C2;20;10;no tag;2023;Immature;2;9;22;69;11.2;5;5;;;;dead;I_dead;old;;;
2;C;0;50;C2;20;10;no tag;2023;dead;2;9;22;69;na;5;na;;;;dead;new;new;;;
2;C;0;50;C3;20;20;no tag;2023;Immature;4;8.5;24;78.5;11.8;5;5;;;;dead;I_dead;old;;;
2;C;0;50;C3;20;20;no tag;2023;Immature;4.5;8.5;24.5;78.5;11.8;5;5;;;;dead;I_dead;old;;;
2;C;0;50;C3;20;20;no tag;2023;Immature;4.5;8.5;24.5;78.5;11.8;5;5;;;;dead;I_dead;old;;;
2;C;0;50;C3;20;20;no tag;2023;Immature;5;8.5;25;78.5;11.8;5;5;;;;dead;I_dead;old;;;
2;C;0;50;C3;20;20;no tag;2023;Reprodutivo;2;1;22;71;14.2;5;5;;;;dead;R_dead;old;;;
2;C;0;50;C3;20;20;2038;2022;Reprodutivo;7;10;27;80;38.8;5;34.1;;;;dead;R_dead;old;;;
2;C;0;50;C3;20;20;no tag;2023;Immature;1.5;8.5;21.5;78.5;12.4;5;5;14;5;5;Immature;I_live;old;;;
2;C;0;50;C3;20;20;no tag;2023;Immature;4;8.5;24;78.5;11.8;5;5;;;;dead;I_dead;old;;;
2;C;0;50;C3;20;20;no tag;2023;Immature;4.5;8.5;24.5;78.5;21.4;5;5;;;;dead;I_dead;old;;;
2;C;0;50;C3;20;20;no tag;2023;Immature;4.5;8.5;24.5;78.5;11.8;5;5;;;;dead;I_dead;old;;;
2;C;0;50;C3;20;20;no tag;2023;Immature;5;8.5;25;78.5;11.8;5;5;;;;dead;I_dead;old;;;
2;C;0;50;C5;20;40;no tag;2023;Immature;3.5;3.5;23.5;93.5;5;5;5;;;;dead;I_dead;old;;;
2;C;0;50;D1;30;0;no tag;2023;Immature;5;9;35;59;5;5;5;;;;dead;I_dead;old;;;
2;C;0;50;D1;30;0;no tag;2023;Immature;5.5;9;35.5;59;5;5;5;;;;dead;I_dead;old;;;
2;C;0;50;D1;30;0;no tag;2023;Immature;8;3;38;53;5;5;5;;;;dead;I_dead;old;;;
2;C;0;50;D1;30;0;no tag;2023;Immature;8.5;3.5;38.5;53.5;5;5;5;;;;dead;I_dead;old;;;
2;C;0;50;D1;30;0;no tag;2023;Immature;6;5;36;55;5;5;5;;;;dead;I_dead;old;;;
2;C;0;50;D1;30;0;no tag;2023;Immature;7.5;6;37.5;56;5;5;5;;;;dead;I_dead;old;;;
2;D;50;50;A2;30;0;no tag;2023;Reprodutivo;4;6.5;84;56.5;22.8;5;15.2;25;12;22;Reprodutivo;R_live;old;;;
2;D;50;50;A2;30;0;no tag;2023;Immature;7.5;3;87.5;53;8.9;5;5;;;;dead;I_dead;old;;;
2;D;50;50;A2;30;0;no tag;2023;Immature;7.5;3;87.5;53;8.9;5;5;;;;dead;I_dead;old;;;
2;D;50;50;A2;30;0;no tag;2023;Immature;7.5;3;87.5;53;8.9;5;6.6;9;8;6.6;Immature;I_live;old;;;
2;D;50;50;A3;20;0;no tag;2023;Reprodutivo;7.5;6;77.5;56;5;21;5;;;;dead;R_dead;old;;;
2;D;50;50;A3;20;0;no tag;2023;Immature;5.5;2;75.5;52;5;5;5;6;5;5;Immature;I_live;old;;;
2;D;50;50;A3;20;0;no tag;2023;Reprodutivo;6;2;76;52;5;5;5;12;5;5;Immature;R_live;old;;;
2;D;50;50;A3;20;0;no tag;2023;Reprodutivo;6;1.5;76;51.5;5;5;5;;;;dead;R_dead;old;;;
2;D;50;50;A3;20;0;no tag;2023;Reprodutivo;5;6;75;56;5;5;5;5;5;5;Immature;R_live;old;;;
2;D;50;50;A5;0;0;no tag;2023;Reprodutivo;1;3;51;53;18;5;5.5;;;;dead;R_dead;old;;;
2;D;50;50;A5;0;0;no tag;2023;Reprodutivo;7.5;3.5;57.5;53.5;11.8;5;5;;;;dead;R_dead;old;;;
2;D;50;50;A5;0;0;no tag;2023;dead;1;3;51;53;na;5;na;;;;dead;new;new;;;
2;D;50;50;A5;0;0;no tag;2023;Reprodutivo;1;3;51;53;8.1;5;5;;;;dead;R_dead;old;;;
2;B;50;0;C2;10;20;no tag;2023;Reprodutivo;6.5;8;66.5;28;26.3;5;11.6;;;;dead;R_dead;old;;;
2;B;50;0;C3;20;20;no tag;2023;Reprodutivo;7;6.5;77;26.5;19.6;5;8.2;;;;dead;R_dead;old;;;
2;B;50;0;C4;30;20;no tag;2023;Reprodutivo;8;4;88;24;6.3;5;5;;;;dead;R_dead;old;;;
2;B;50;0;C4;30;20;no tag;2023;Reprodutivo;5;5;85;25;9.4;5;5.5;12;5;5;Immature;R_live;old;;;
2;B;50;0;C4;30;20;no tag;2022;Reprodutivo;2;3;82;23;7.5;5;5.3;5;5;5;Immature;R_live;old;;;
2;B;50;0;C4;30;20;no tag;2023;Reprodutivo;8;4;88;24;6.3;5;5;;;;dead;R_dead;old;;;
2;B;50;0;D2;10;10;no tag;2023;Immature;1;5;61;15;11.1;5;5.5;;;;dead;I_dead;old;;;
2;B;50;0;D2;10;10;no tag;2023;Immature;2;5;62;15;13.6;5;5;;;;dead;I_dead;old;;;
2;B;50;0;D2;10;10;no tag;2023;Immature;2;5;62;15;13.6;5;5;;;;dead;I_dead;old;;;
2;B;50;0;D2;10;10;no tag;2023;Reprodutivo;8;2;68;12;1.5;5;5.5;;;;dead;R_dead;old;;;
2;B;50;0;D2;10;10;no tag;2023;Reprodutivo;8;2;68;12;15.7;5;5;17;5;5;dead;R_dead;old;;dead com rebrota;
2;B;50;0;D2;10;10;no tag;2023;Reprodutivo;1;8.5;61;18.5;8;5;7.4;;;;dead;R_dead;old;;;
2;B;50;0;E1;0;0;no tag;2023;Reprodutivo;7;6.5;57;6.5;13.1;5;5.6;;;;dead;R_dead;old;;;
2;B;50;0;E1;0;0;no tag;2023;Reprodutivo;9;8;59;8;13.4;5;5;;;;dead;R_dead;old;;;
2;B;50;0;E1;0;0;no tag;2023;Reprodutivo;1.5;8;51.5;8;9.5;5;6.2;;;;dead;R_dead;old;;;
2;B;50;0;E2;10;0;no tag;2023;dead;0;1;60;1;na;5;na;;;;dead;new;new;;;
2;B;50;0;E2;10;0;no tag;2023;dead;0.5;2;60.5;2;na;5;na;;;;dead;new;new;;;
2;B;50;0;E3;20;0;no tag;2023;Reprodutivo;9;4;79;4;9.1;5;5;;;;dead;R_dead;old;;;
2;B;50;0;E3;20;0;no tag;2023;Reprodutivo;9;6;79;6;10.1;5;5;;;;dead;R_dead;old;;;
2;B;50;0;E3;20;0;no tag;2023;Reprodutivo;10;8;80;8;20.1;5;7.9;;;;dead;R_dead;old;;;
2;B;50;0;E3;20;0;no tag;2022;Reprodutivo;5;7;75;7;18.1;5;16.7;;;;dead;R_dead;old;;;adulto no tag, ano passado
2;B;50;0;E4;30;0;no tag;2023;Reprodutivo;10;9;90;9;24.7;5;26.6;;;;dead;R_dead;old;;;
2;C;0;50;D1;30;0;no tag;2023;Immature;8;9;38;59;5;5;5;;;;dead;I_dead;old;;;
2;C;0;50;D1;30;0;no tag;2023;Immature;8.5;8.5;38.5;58.5;5;5;5;;;;dead;I_dead;old;;;
2;C;0;50;D4;30;30;no tag;2023;Reprodutivo;2.5;3.5;32.5;83.5;7.8;5;5;;;;dead;R_dead;old;;;
2;C;0;50;D4;30;30;no tag;2023;Reprodutivo;4;3;34;83;12;5;5;;;;dead;R_dead;old;;;
2;C;0;50;D4;30;30;no tag;2023;Immature;6;4;36;84;5;5;5;;;;dead;I_dead;old;;;
2;C;0;50;D4;30;30;no tag;2023;Immature;8;4;38;84;5;5;5;11;5;5;Immature;I_live;old;;;
2;C;0;50;D5;30;40;no tag;2023;Immature;4;4;34;94;14;5;5;;;;dead;I_dead;old;;;
2;C;0;50;D5;30;40;no tag;2023;Immature;4;5;34;95;14.6;5;5.5;;;;dead;I_dead;old;;;
2;C;0;50;D5;30;40;no tag;2023;Immature;4;8;34;98;10.4;12;5;;;;dead;I_dead;old;;;
2;C;0;50;E2;40;10;no tag;2023;Immature;3;5;43;65;16.8;5;10.2;;;;dead;I_dead;old;;;
2;C;0;50;E2;40;10;no tag;2023;Immature;5;5;45;65;5.6;5;7;16;5;5;Immature;I_live;old;;;
2;C;0;50;E2;40;10;no tag;2022;Reprodutivo;8;4;48;64;23.1;5;27.6;;;;dead;R_dead;old;;;
2;C;0;50;E3;40;20;no tag;2023;Immature;8.5;4.5;48.5;74.5;11.7;5;5;;;;dead;I_dead;old;;Com dead;
2;C;0;50;E5;40;40;no tag;2023;Immature;1;2;41;92;12.8;5;5;;;;dead;I_dead;old;;Com dead;
2;C;0;50;E5;40;40;no tag;2023;Immature;2.5;2;42.5;92;5;5;5;12;5;5;Immature;I_live;old;;;
2;C;0;50;E5;40;40;no tag;2023;Immature;3;1.5;43;91.5;5;5;5;;;;dead;I_dead;old;;;
2;C;0;50;E5;40;40;no tag;2023;Immature;4;1;44;91;5;5;5;;;;dead;I_dead;old;;;
2;D;50;50;B1;40;10;no tag;2023;Reprodutivo;6.5;1;96.5;61;5;5;5;;;;dead;R_dead;old;;;
2;D;50;50;B2;30;10;no tag;2022;Reprodutivo;6.5;7.5;86.5;67.5;34;5;12.3;29;18;12;Reprodutivo;R_live;old;;;
2;D;50;50;B5;0;10;no tag;2023;Immature;2;1;52;61;5;5;5;;;;dead;I_dead;old;;;
2;D;50;50;B5;0;10;no tag;2023;Reprodutivo;7;5;57;65;10.9;5;5;;;;dead;R_dead;old;;;
2;D;50;50;B5;0;10;no tag;2023;Reprodutivo;5.5;5;55.5;65;9.3;5;5;;;;dead;R_dead;old;;;
2;D;50;50;B5;0;10;no tag;2023;Immature;7;8;57;68;6.7;5;5;;;;dead;I_dead;old;;;
2;D;50;50;B5;0;10;no tag;2023;dead;1;2;51;62;na;5;na;;;;dead;new;new;;;
2;D;50;50;B5;0;10;no tag;2023;Reprodutivo;2;0.5;52;60.5;8.6;5;5.5;;;;dead;R_dead;old;;;
2;D;50;50;B5;0;10;no tag;2023;Reprodutivo;3;0.5;53;60.5;8.7;5;5.9;;;;dead;R_dead;old;;;
2;D;50;50;B5;0;10;no tag;2023;Reprodutivo;3.5;0.5;53.5;60.5;12.3;10;5.5;;;;dead;R_dead;old;;;
2;D;50;50;B5;0;10;no tag;2023;Reprodutivo;8;2;58;62;8.6;14;5.5;;;;dead;R_dead;old;;;
2;D;50;50;B5;0;10;no tag;2023;Reprodutivo;8.5;5;58.5;65;11.7;5;5;;;;dead;R_dead;old;;;
2;D;50;50;B5;0;10;no tag;2023;dead;8;5;58;65;na;5;na;;;;dead;new;new;;;
2;D;50;50;C5;0;20;no tag;2023;Reprodutivo;0.5;3;50.5;73;5;5;5;;;;dead;R_dead;old;;;
2;D;50;50;C5;0;20;no tag;2023;Reprodutivo;0.5;3;50.5;73;5;5;5;;;;dead;R_dead;old;;;
2;D;50;50;D1;40;30;no tag;2023;Immature;6;2;96;82;19.4;5;6;;;;dead;I_dead;old;;;
